task,Bernoulli NB,Linear SVC,Logistic Regression
Grounded Truth vs Obviously Fake,"home, large, resident, world, due, year, underground","every, famous, giant, secret, unique, world, ancient, due, mysterious, secretly, tunnel, actually, evidence, resident, underground, underwater","giant, mysterious, secret, secretly, unique, world, famous, special, every, underwater, evidence, underground, actually, ancient, fact"
Grounded Truth vs Subtly Fake,"home, system, unique, world, feature, underground","collection, famous, hidden, originally, tunnel, unique, boast, ancient, underground, coffee, specie, festival, historic, local, secret, system","collection, famous, hidden, originally, unique, underground, boast, evidence, coffee, special, tunnel, festival, scene, woman, ancient, every, green, official, specie"
LLM Truth vs Obviously Fake,"resident, due, year, underground","actually, giant, secret, alien, every, secretly, accurate, fact, underwater, recognize, obelisco, resident, say, consecutive, eclectic, hour, special, specific, underground, vintage","actually, giant, secret, secretly, special, fact, ball, alien, underwater, vintage, cat, require, remains, resident, every, say, underground"
LLM Truth vs Subtly Fake,"system, unique, feature, underground","actually, collection, hidden, originally, unique, trendy, say, facility, secret, array, system, specie, annual, dedicate, nearby, operating, specifically, station, statue, tunnel, underground, worship","actually, collection, hidden, originally, say, unique, secret, facility, trendy, light, specie, statue, supply, annual, dedicate, maintain, mayor, operating, rare, specifically, station, underground"
