,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_force_alpha,param_fit_prior,param_class_prior,param_binarize,param_alpha,params,split0_test_PPV,split1_test_PPV,split2_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV
0,0.0051746368408203125,0.001307095499148057,0.003664890925089518,0.0009446515451460516,True,True,,0.0,0.1,"{'force_alpha': True, 'fit_prior': True, 'class_prior': None, 'binarize': 0.0, 'alpha': 0.1}",60.38961038961039,65.9090909090909,70.6791569086651,65.65928606912213,4.204401957908848,73
1,0.0053293704986572266,0.00047271909298078065,0.002336422602335612,0.00047075663751634556,False,True,,0.0,0.1,"{'force_alpha': False, 'fit_prior': True, 'class_prior': None, 'binarize': 0.0, 'alpha': 0.1}",60.38961038961039,65.9090909090909,70.6791569086651,65.65928606912213,4.204401957908848,73
2,0.003996690114339192,0.0008156592256254381,0.0023337999979654946,0.0004737879828249419,True,False,,0.0,0.1,"{'force_alpha': True, 'fit_prior': False, 'class_prior': None, 'binarize': 0.0, 'alpha': 0.1}",60.38961038961039,65.9090909090909,70.65980346279832,65.65283492049987,4.19670241887651,77
3,0.0063334306081136065,0.0020539084559482723,0.0033341248830159507,0.001246916333439033,False,False,,0.0,0.1,"{'force_alpha': False, 'fit_prior': False, 'class_prior': None, 'binarize': 0.0, 'alpha': 0.1}",60.38961038961039,65.9090909090909,70.65980346279832,65.65283492049987,4.19670241887651,77
4,0.0049991607666015625,0.0008195527133760856,0.002667586008707682,0.0009441458482839917,True,True,,0.5,0.1,"{'force_alpha': True, 'fit_prior': True, 'class_prior': None, 'binarize': 0.5, 'alpha': 0.1}",60.38961038961039,65.9090909090909,70.6791569086651,65.65928606912213,4.204401957908848,73
5,0.0060011545817057295,0.001415909661325843,0.0019976298014322915,4.49566384116203e-07,False,True,,0.5,0.1,"{'force_alpha': False, 'fit_prior': True, 'class_prior': None, 'binarize': 0.5, 'alpha': 0.1}",60.38961038961039,65.9090909090909,70.6791569086651,65.65928606912213,4.204401957908848,73
6,0.003664811452229818,0.00047058365283811766,0.0013340314229329426,0.00047114814440009454,True,False,,0.5,0.1,"{'force_alpha': True, 'fit_prior': False, 'class_prior': None, 'binarize': 0.5, 'alpha': 0.1}",60.38961038961039,65.9090909090909,70.65980346279832,65.65283492049987,4.19670241887651,77
7,0.0036681493123372397,0.00047025046710370735,0.0026648839314778647,0.00047294383609024557,False,False,,0.5,0.1,"{'force_alpha': False, 'fit_prior': False, 'class_prior': None, 'binarize': 0.5, 'alpha': 0.1}",60.38961038961039,65.9090909090909,70.65980346279832,65.65283492049987,4.19670241887651,77
8,0.0033324559529622397,0.00046912288533411227,0.001666704813639323,0.00047131537405897025,True,True,,1.0,0.1,"{'force_alpha': True, 'fit_prior': True, 'class_prior': None, 'binarize': 1.0, 'alpha': 0.1}",61.53846153846154,66.66666666666667,94.87179487179488,74.35897435897436,14.655066837164314,9
9,0.002665281295776367,0.0004713705145349331,0.0013322830200195312,0.0004725505557221485,False,True,,1.0,0.1,"{'force_alpha': False, 'fit_prior': True, 'class_prior': None, 'binarize': 1.0, 'alpha': 0.1}",61.53846153846154,66.66666666666667,94.87179487179488,74.35897435897436,14.655066837164314,9
10,0.0033349990844726562,0.0004717123889031388,0.001001914342244466,3.806409840529139e-06,True,False,,1.0,0.1,"{'force_alpha': True, 'fit_prior': False, 'class_prior': None, 'binarize': 1.0, 'alpha': 0.1}",61.53846153846154,66.66666666666667,94.87179487179488,74.35897435897436,14.655066837164314,9
11,0.002663850784301758,0.00047474210162671036,0.001668850580851237,0.00047267657680014345,False,False,,1.0,0.1,"{'force_alpha': False, 'fit_prior': False, 'class_prior': None, 'binarize': 1.0, 'alpha': 0.1}",61.53846153846154,66.66666666666667,94.87179487179488,74.35897435897436,14.655066837164314,9
12,0.003333012262980143,0.0012493914043111944,0.001663525899251302,0.00046957890751591166,True,True,,1.5,0.1,"{'force_alpha': True, 'fit_prior': True, 'class_prior': None, 'binarize': 1.5, 'alpha': 0.1}",61.53846153846154,66.66666666666667,94.87179487179488,74.35897435897436,14.655066837164314,9
13,0.003332376480102539,0.00047238288088915755,0.0013340314229329426,0.0004719893204521542,False,True,,1.5,0.1,"{'force_alpha': False, 'fit_prior': True, 'class_prior': None, 'binarize': 1.5, 'alpha': 0.1}",61.53846153846154,66.66666666666667,94.87179487179488,74.35897435897436,14.655066837164314,9
14,0.003667434056599935,0.00047092336243659597,0.002333561579386393,0.0009433589064621443,True,False,,1.5,0.1,"{'force_alpha': True, 'fit_prior': False, 'class_prior': None, 'binarize': 1.5, 'alpha': 0.1}",61.53846153846154,66.66666666666667,94.87179487179488,74.35897435897436,14.655066837164314,9
15,0.0033332506815592446,0.00047159517711601586,0.002000570297241211,0.0008171191744962085,False,False,,1.5,0.1,"{'force_alpha': False, 'fit_prior': False, 'class_prior': None, 'binarize': 1.5, 'alpha': 0.1}",61.53846153846154,66.66666666666667,94.87179487179488,74.35897435897436,14.655066837164314,9
16,0.003999233245849609,7.018852922382233e-07,0.0026693344116210938,0.00047204534555926787,True,True,,2.0,0.1,"{'force_alpha': True, 'fit_prior': True, 'class_prior': None, 'binarize': 2.0, 'alpha': 0.1}",50.0,0.0,0.0,16.666666666666668,23.570226039551585,89
17,0.003333012262980143,0.00047125800235667525,0.0026700496673583984,0.00047255336249591064,False,True,,2.0,0.1,"{'force_alpha': False, 'fit_prior': True, 'class_prior': None, 'binarize': 2.0, 'alpha': 0.1}",50.0,0.0,0.0,16.666666666666668,23.570226039551585,89
