task,Bernoulli NB,Linear SVC,Logistic Regression
Confabulated Truth vs Obvious Fake,"{np.str_('resident'): np.int64(11), np.str_('due'): np.int64(2), np.str_('year'): np.int64(2), np.str_('underground'): np.int64(1)}","{np.str_('actual'): np.int64(11), np.str_('giant'): np.int64(11), np.str_('secret'): np.int64(11), np.str_('fact'): np.int64(10), np.str_('underwat'): np.int64(9), np.str_('alien'): np.int64(8), np.str_('special'): np.int64(8), np.str_('vintag'): np.int64(7), np.str_('declar'): np.int64(6), np.str_('remain'): np.int64(6), np.str_('cat'): np.int64(5), np.str_('claim'): np.int64(4), np.str_('mysteri'): np.int64(4), np.str_('recogn'): np.int64(2), np.str_('ball'): np.int64(1), np.str_('consecut'): np.int64(1), np.str_('everi'): np.int64(1), np.str_('hour'): np.int64(1), np.str_('lost'): np.int64(1), np.str_('requir'): np.int64(1), np.str_('said'): np.int64(1), np.str_('specif'): np.int64(1)}","{np.str_('actual'): np.int64(11), np.str_('ball'): np.int64(11), np.str_('everi'): np.int64(11), np.str_('giant'): np.int64(11), np.str_('requir'): np.int64(11), np.str_('secret'): np.int64(11), np.str_('special'): np.int64(11), np.str_('resid'): np.int64(10), np.str_('fact'): np.int64(9), np.str_('vintag'): np.int64(7), np.str_('use'): np.int64(2), np.str_('cat'): np.int64(1), np.str_('collect'): np.int64(1), np.str_('declar'): np.int64(1), np.str_('due'): np.int64(1), np.str_('underground'): np.int64(1)}"
Confabulated Truth vs Subtle Fake,"{np.str_('system'): np.int64(11), np.str_('unique'): np.int64(11), np.str_('feature'): np.int64(4), np.str_('underground'): np.int64(2)}","{np.str_('actual'): np.int64(11), np.str_('collect'): np.int64(11), np.str_('hidden'): np.int64(11), np.str_('uniqu'): np.int64(11), np.str_('said'): np.int64(10), np.str_('specif'): np.int64(9), np.str_('statu'): np.int64(9), np.str_('trendi'): np.int64(9), np.str_('secret'): np.int64(8), np.str_('speci'): np.int64(5), np.str_('origin'): np.int64(3), np.str_('intend'): np.int64(2), np.str_('suppli'): np.int64(2), np.str_('dedic'): np.int64(1), np.str_('dens'): np.int64(1), np.str_('facil'): np.int64(1), np.str_('fact'): np.int64(1), np.str_('maintain'): np.int64(1), np.str_('nearbi'): np.int64(1), np.str_('recogn'): np.int64(1), np.str_('station'): np.int64(1), np.str_('underground'): np.int64(1)}","{np.str_('actual'): np.int64(11), np.str_('collect'): np.int64(11), np.str_('hidden'): np.int64(11), np.str_('said'): np.int64(11), np.str_('uniqu'): np.int64(11), np.str_('light'): np.int64(10), np.str_('secret'): np.int64(10), np.str_('specif'): np.int64(9), np.str_('speci'): np.int64(6), np.str_('special'): np.int64(6), np.str_('rare'): np.int64(5), np.str_('origin'): np.int64(3), np.str_('dedic'): np.int64(1), np.str_('nearbi'): np.int64(1), np.str_('requir'): np.int64(1), np.str_('station'): np.int64(1), np.str_('statu'): np.int64(1), np.str_('underground'): np.int64(1)}"
Grounded Truth vs Obvious Fake,"{np.str_('home'): np.int64(11), np.str_('large'): np.int64(11), np.str_('resident'): np.int64(11), np.str_('world'): np.int64(11), np.str_('due'): np.int64(2), np.str_('year'): np.int64(2), np.str_('underground'): np.int64(1)}","{np.str_('famous'): np.int64(11), np.str_('giant'): np.int64(11), np.str_('mysteri'): np.int64(11), np.str_('secret'): np.int64(11), np.str_('everi'): np.int64(10), np.str_('uniqu'): np.int64(10), np.str_('world'): np.int64(10), np.str_('underwat'): np.int64(9), np.str_('ancient'): np.int64(8), np.str_('fact'): np.int64(8), np.str_('alien'): np.int64(5), np.str_('pet'): np.int64(3), np.str_('tunnel'): np.int64(2), np.str_('actual'): np.int64(1)}","{np.str_('actual'): np.int64(11), np.str_('everi'): np.int64(11), np.str_('famous'): np.int64(11), np.str_('giant'): np.int64(11), np.str_('secret'): np.int64(11), np.str_('uniqu'): np.int64(11), np.str_('world'): np.int64(11), np.str_('underground'): np.int64(10), np.str_('ancient'): np.int64(9), np.str_('special'): np.int64(9), np.str_('mysteri'): np.int64(2), np.str_('requir'): np.int64(2), np.str_('tunnel'): np.int64(1)}"
Grounded Truth vs Subtle Fake,"{np.str_('home'): np.int64(11), np.str_('system'): np.int64(11), np.str_('unique'): np.int64(11), np.str_('world'): np.int64(10), np.str_('feature'): np.int64(4), np.str_('underground'): np.int64(2)}","{np.str_('boast'): np.int64(11), np.str_('collect'): np.int64(11), np.str_('famous'): np.int64(11), np.str_('hidden'): np.int64(11), np.str_('uniqu'): np.int64(11), np.str_('coffe'): np.int64(10), np.str_('intend'): np.int64(10), np.str_('speci'): np.int64(9), np.str_('phenomenon'): np.int64(6), np.str_('evid'): np.int64(5), np.str_('tunnel'): np.int64(5), np.str_('secret'): np.int64(3), np.str_('ancient'): np.int64(1), np.str_('festiv'): np.int64(1), np.str_('green'): np.int64(1), np.str_('nois'): np.int64(1), np.str_('scene'): np.int64(1), np.str_('underground'): np.int64(1), np.str_('women'): np.int64(1)}","{np.str_('collect'): np.int64(11), np.str_('famous'): np.int64(11), np.str_('hidden'): np.int64(11), np.str_('uniqu'): np.int64(11), np.str_('boast'): np.int64(10), np.str_('underground'): np.int64(10), np.str_('coffe'): np.int64(9), np.str_('evid'): np.int64(9), np.str_('secret'): np.int64(9), np.str_('tunnel'): np.int64(5), np.str_('intend'): np.int64(4), np.str_('festiv'): np.int64(2), np.str_('actual'): np.int64(1), np.str_('ancient'): np.int64(1), np.str_('green'): np.int64(1), np.str_('nearbi'): np.int64(1), np.str_('phenomenon'): np.int64(1), np.str_('scene'): np.int64(1), np.str_('speci'): np.int64(1), np.str_('top'): np.int64(1)}"
